Date,Sapporo,Tokyo,Nagoya,Kyoto,Fukuoka,Naha
2021/1,90.5,43.5,56.5,55.5,45.5,118.5
2021/2,78.5,88.5,46.5,54.0,79.5,194.5
2021/3,79.5,173.0,203.5,143.0,116.5,69.5
2021/4,112.0,156.0,192.0,202.0,66.0,92.0
2021/5,76.5,99.5,254.0,228.5,133.5,163.5
2021/6,50.5,168.5,137.0,128.0,123.0,893.5
2021/7,7.5,310.0,312.5,390.0,45.5,337.5
2021/8,108.5,382.5,347.0,468.5,881.5,109.5
2021/9,73.0,222.5,224.0,179.5,246.5,241.0
2021/10,150.5,199.5,65.0,41.0,44.0,107.5
2021/11,153.5,93.0,71.5,67.5,152.5,92.5
2021/12,108.5,116.0,89.0,76.5,45.0,66.0